"Latitude","Longitude","Bathymetry","site"
"-29",152.82,260,"EvansHead"
"-28.6",152.82,137,"CapeByron"
"-31.8",152.83,-32,"DiamondHead"
"-30",152.83,84,"NorthSolitary"
"-29",152.83,213,"EvansHead"
"-28.6",152.83,198,"CapeByron"
"-31.8",152.84,-40,"DiamondHead"
"-30",152.84,101,"NorthSolitary"
"-29",152.84,180,"EvansHead"
"-28.6",152.84,281,"CapeByron"
"-31.8",152.85,-48,"DiamondHead"
"-30",152.85,102,"NorthSolitary"
"-29",152.85,156,"EvansHead"
"-28.6",152.85,279,"CapeByron"
"-31.8",152.86,-60,"DiamondHead"
"-30",152.86,334,"NorthSolitary"
"-29",152.86,126,"EvansHead"
"-28.6",152.86,186,"CapeByron"
"-31.8",152.87,-65,"DiamondHead"
"-30",152.87,373,"NorthSolitary"
"-29",152.87,130,"EvansHead"
"-28.6",152.87,157,"CapeByron"
"-31.8",152.88,-70,"DiamondHead"
"-30",152.88,383,"NorthSolitary"
"-29",152.88,109,"EvansHead"
"-28.6",152.88,178,"CapeByron"
"-31.8",152.89,-76,"DiamondHead"
"-30",152.89,327,"NorthSolitary"
"-29",152.89,92,"EvansHead"
"-28.6",152.89,137,"CapeByron"
"-31.8",152.9,-80,"DiamondHead"
"-30",152.9,272,"NorthSolitary"
"-29",152.9,89,"EvansHead"
"-28.6",152.9,84,"CapeByron"
"-31.8",152.91,-86,"DiamondHead"
"-30",152.91,261,"NorthSolitary"
"-29",152.91,92,"EvansHead"
"-28.6",152.91,147,"CapeByron"
"-31.8",152.92,-86,"DiamondHead"
"-30",152.92,227,"NorthSolitary"
"-29",152.92,91,"EvansHead"
"-28.6",152.92,190,"CapeByron"
"-31.8",152.93,-87,"DiamondHead"
"-30",152.93,218,"NorthSolitary"
"-29",152.93,88,"EvansHead"
"-28.6",152.93,175,"CapeByron"
"-31.8",152.94,-89,"DiamondHead"
"-30",152.94,183,"NorthSolitary"
"-29",152.94,73,"EvansHead"
"-28.6",152.94,153,"CapeByron"
"-31.8",152.95,-90,"DiamondHead"
"-30",152.95,180,"NorthSolitary"
"-29",152.95,67,"EvansHead"
"-28.6",152.95,188,"CapeByron"
"-31.8",152.96,-92,"DiamondHead"
"-30",152.96,184,"NorthSolitary"
"-29",152.96,52,"EvansHead"
"-28.6",152.96,117,"CapeByron"
"-31.8",152.97,-94,"DiamondHead"
"-30",152.97,186,"NorthSolitary"
"-29",152.97,46,"EvansHead"
"-28.6",152.97,82,"CapeByron"
"-31.8",152.98,-96,"DiamondHead"
"-30",152.98,100,"NorthSolitary"
"-29",152.98,51,"EvansHead"
"-28.6",152.98,62,"CapeByron"
"-31.8",152.99,-98,"DiamondHead"
"-30",152.99,72,"NorthSolitary"
"-29",152.99,76,"EvansHead"
"-28.6",152.99,58,"CapeByron"
"-31.8",153,-98,"DiamondHead"
"-30",153,123,"NorthSolitary"
"-29",153,62,"EvansHead"
"-28.6",153,65,"CapeByron"
"-31.8",153.01,-100,"DiamondHead"
"-30",153.01,108,"NorthSolitary"
"-29",153.01,43,"EvansHead"
"-28.6",153.01,56,"CapeByron"
"-31.8",153.02,-101,"DiamondHead"
"-30",153.02,121,"NorthSolitary"
"-29",153.02,40,"EvansHead"
"-28.6",153.02,73,"CapeByron"
"-31.8",153.03,-104,"DiamondHead"
