"TIME (UTC)","LONGITUDE (degrees_east)","LATITUDE (degrees_north)","start_time (days since 1985-01-01 00:00:00+00:00)","end_time (days since 1985-01-01 00:00:00+00:00)","GSLA (m)","GSL (m)","UCUR (m/s)","VCUR (m/s)","Transect"
2011-09-08,153.6,-30,9738.50452546298,9753.47140046291,-0.0239573955106588,2.2143042436635,-0.222941113637404,-0.573756733248898,"NorthSolitary"
2011-09-09,153.6,-30,9739.53812499996,9754.49101851857,0.0103764515587567,2.24863809073291,-0.174110753360902,-0.462667663619856,"NorthSolitary"
2011-09-10,153.6,-30,9740.50283564813,9755.48997685185,0.0720247814078403,2.310286420582,-0.175789296995407,-0.411853569957121,"NorthSolitary"
2011-09-11,153.6,-30,9741.53644675924,9756.48932870373,0.112615018387683,2.35087665756184,-0.176552271374727,-0.40208749790182,"NorthSolitary"
2011-09-12,153.6,-30,9742.54325231479,9757.45402777777,0.118413623670517,2.35667526284467,-0.167091389071155,-0.417041795736499,"NorthSolitary"
2011-09-13,153.6,-30,9743.51773148146,9758.28091435181,0.104374895091023,2.34248393938932,-0.163429112050417,-0.460531335357759,"NorthSolitary"
2011-09-14,153.6,-30,9744.56182870374,9759.21386574069,0.0825538278424611,2.32081546701662,-0.156714937512398,-0.455800894205973,"NorthSolitary"
2011-09-15,153.6,-30,9745.53307870368,9760.48593750002,0.0720247814078403,2.310286420582,-0.167854363450475,-0.470907786916515,"NorthSolitary"
2011-09-16,153.6,-30,9746.58040509257,9761.45063657407,0.0695832633940152,2.30769230769231,-0.171058855843621,-0.472128545923428,"NorthSolitary"
2011-09-17,153.6,-30,9747.62449074071,9762.48423611117,0.0828590175941892,2.32112065676835,-0.180672333023057,-0.58398058993179,"NorthSolitary"
2011-09-18,153.6,-30,9748.52937500004,9763.44893518521,0.0709566172767918,2.30921825645095,-0.172584804602261,-0.576045656386859,"NorthSolitary"
2011-09-19,153.6,-30,9749.50385416672,9764.48254629632,0.0566126989455694,2.29487433811973,-0.119939572429158,-0.528893839744861,"NorthSolitary"
2011-09-20,153.6,-30,9750.54795138887,9765.44723379635,0.0476096012695894,2.28587124044375,-0.12375444432576,-0.496391131185815,"NorthSolitary"
2011-09-21,153.6,-30,9751.52243055555,9766.48773148144,0.0555445348145209,2.29380617398868,-0.13352051638106,-0.561243953428044,"NorthSolitary"
2011-09-22,153.6,-30,9752.56652777782,9767.46222222224,0.0427265652419392,2.2809882044161,-0.149085193719195,-0.60610684693208,"NorthSolitary"
2011-09-23,153.6,-30,9753.52631944441,9768.47914351849,0.0273144827796683,2.26557612195382,-0.15976683502968,-0.609158744449361,"NorthSolitary"
2011-09-24,153.6,-30,9754.51549768518,9769.37494212959,0.035554606076328,2.27381624525048,-0.157935696519311,-0.577419010269635,"NorthSolitary"
2011-09-25,153.6,-30,9755.52462962968,9770.45527777774,0.0492881449040941,2.28754978407825,-0.147559244960554,-0.525689347351716,"NorthSolitary"
2011-09-26,153.6,-30,9756.53407407412,9771.49937500001,0.0611905452214915,2.29945218439565,-0.140692475546671,-0.521264095951658,"NorthSolitary"
