"secs","depth","temp","distance","abund","sal","GeoMnESD","biomass","NBSS.Slope","lat","long","site","GA_depth","Norm.GeoMnESD","Norm.Biomass","Norm.abund"
4470,23.8351828184281,21.1497619047619,19703.7,5670.17439769092,35.655,0.000439643889200391,282.208773706782,-1.28559771713455,-30.0028333333333,153.574031746032,"NorthSolitary",396,0.551898889320013,0.0196362677053146,0.247534051442949
4490,44.1922885879325,20.989,19789.1,4790.51026655712,35.6486,0.000433007095943576,149.993233684351,NA,-30.0028333333333,153.574733333333,"NorthSolitary",396,0.543567512683015,0.0104366255234571,0.209131912281715
4510,65.5402173694772,20.6612608695652,19872.0999803863,3026.31693444306,35.6403913043478,0.000433481645091881,117.861905406591,NA,-30.0026739130435,153.575434782609,"NorthSolitary",397,0.544163229248878,0.00820090706757028,0.132115247114473
4530,84.8942423796215,20.326875,19948.2499821465,3289.4180020316,35.6368125,0.000419733002056761,154.826417540826,NA,-30.0026666666667,153.5760625,"NorthSolitary",397,0.526904122487402,0.0107729215599983,0.143601044310708
4550,101.777043818356,20.0626666666667,20017.9,2297.94850741582,35.634,0.000393262107167009,43.2715526718356,NA,-30.0026574074074,153.576722222222,"NorthSolitary",397,0.493674370299714,0.00301086242333354,0.100317990973886
4570,115.674432256487,19.4025,20088,1455.21757861246,35.5997,0.000397630464559119,26.2066645934828,NA,-30.0025,153.577316666667,"NorthSolitary",397,0.499158107597287,0.00182347655199301,0.0635281876182914
4590,116.56779423004,19.2213333333333,20170.2,1903.34325361176,35.5966666666667,0.000401319768847633,63.1264888844744,NA,-30.0025,153.578166666667,"NorthSolitary",394,0.503789408041148,0.00439238163559023,0.0830913185042401
4610,94.8278816480624,20.180125,20212.8999849126,3970.25517881252,35.63209375,0.000413031033863295,110.511590295251,NA,-30.0023645833333,153.578671875,"NorthSolitary",404,0.51849092968957,0.00768946742184668,0.173323302026483
4630,71.4974519447448,20.6767333333333,20282.1499836553,3724.62198876144,35.6389333333333,0.00041598441739707,100.402953702835,NA,-30.0023333333333,153.579288888889,"NorthSolitary",404,0.522198405517315,0.00698610199611168,0.162600072997238
4650,53.1288975061286,21.0469090909091,20351,4772.38172930398,35.6473181818182,0.000428023254827797,187.894163339808,NA,-30.0022651515151,153.579901515151,"NorthSolitary",404,0.537311139186391,0.0130737965483669,0.208340502713285
4670,33.269236510891,21.2419444444444,20430.0500208709,4831.78179888023,35.6560555555556,0.00042975332826099,178.237867345604,-1.1361609626242,-30.0021666666667,153.580592592593,"NorthSolitary",398,0.539482955125783,0.0124019052719428,0.210933639863385
4690,14.4007287579083,21.28815,20506.7,4535.27255642408,35.65805,0.000458089260511525,198.427439005384,-1.0595850694175,-30.0021666666667,153.581225,"NorthSolitary",398,0.575053947742921,0.01380670863351,0.197989393544376
4710,3.52197613979711,21.2946923076923,20594.4499791291,4466.37506646013,35.6587692307692,0.000528771817392109,4838.28727707693,NA,-30.0020128205128,153.581961538461,"NorthSolitary",398,0.663783998574839,0.33665113582405,0.194981642172219
